VoteThreshold,Approach,a11,a12,a13,a14,b1,a21,a22,a23,a24,b2,a31,a32,a33,a34,b3,a41,a42,a43,a44,b4
0.6,PE,0.3952991778017333,0.5608198260879838,0.01222408981641572,0.17062822596964602,0.255213187523286,0.7075107042337101,0.16199634880305275,0.15761366989674647,0.014325179976553217,0.0569839861316071,0.6391434250233938,0.22083472117397449,-0.03249576604184206,0.30731897741455705,0.27111391347687985,0.5125580435318934,0.3040866834319602,0.039936424289085476,0.09594212864978803,0.4615215985491591
0.7,PE,0.3513167320020588,0.6970278793759269,-0.06074024612459144,0.12288210419811241,0.3200098705362141,0.7269622913225375,0.24317953514084026,0.06674463848730977,0.036555438962009856,0.04273569700422216,0.5663661410612068,0.3117253256299537,-0.234797572220208,0.3834400545081602,0.3200143573169992,0.6855567148185004,0.24368618469639436,-0.1450660280924667,-0.051589238289371675,0.5542744147636153
0.8,PE,0.02647811178324809,0.8344418175198529,-0.42588900588269313,0.18918279091452395,0.4723831634058519,0.6052690784046434,0.2544708933923446,-0.3272947953374656,0.08889389412378387,0.035601960905792714,0.3084806684210949,0.3006803806890618,-0.6760915731240674,0.46376029195898655,0.29330314651714423,0.23913284859594314,0.19952831151154485,-0.260667467623126,0.0011557366928298958,0.7155621745389356
0.9,PE,-0.08327316286646211,0.21752826011507945,-0.6659214020053007,0.03375050409464322,0.38356023714290005,0.3898119160274507,-0.029050597160469118,-0.5024902357717919,-0.1386120284427606,0.019851370473105468,0.5035299815815973,-0.22449762314434818,-0.8849483069149989,0.024407754967571693,0.0168795262493794,0.15767820591614562,-0.4747345709040443,-0.2661021049378156,-0.24468639605926593,0.22254599421892207
0.6,RS,0.5401267369145553,0.29830310399720583,0.035871291514909975,0.0802150063927584,0.10565057430404136,0.511121156753847,0.1307000978153436,0.16133941488719244,0.061040431623451206,0.06436699431282512,0.5936232828114504,0.1292867695467742,0.0429990298193764,0.20162206021828585,0.11461181330827024,0.5328311163193912,0.17214921606724642,0.08101236333169504,0.07642211796505763,0.2362082678709021
0.7,RS,0.551131062296597,0.3277262614751384,0.00583886624506498,0.07092864304019582,0.1136733132480977,0.5211551867963025,0.15349564365939888,0.11966712094326497,0.06046004915664581,0.06080169518003568,0.58179174641489,0.1426746206425183,-0.05919469057039619,0.22019727313461032,0.11873667928604296,0.5784268280309179,0.15298990706191065,0.002032672630125557,0.03240756133526034,0.2704021406531964
0.8,RS,0.3547047181215811,0.32545656289897024,-0.16378982768591172,0.07024069512308195,0.13867372128566607,0.34155636435788916,0.14035916582355018,-0.0681971990062454,0.06340303588976223,0.05414499166995906,0.2814213519313168,0.09918980039572087,-0.23473870892931045,0.22503744810805076,0.09975287923326284,0.31867359005240126,0.07276373693651525,-0.06777501634780234,3.023867548911238E-4,0.26897970827924883
0.9,RS,-0.09158239248862786,0.06905604636410473,-0.2216991372224845,0.0219237195993937,0.09005960205142997,0.01248947005494777,0.0318981858305012,-0.14979581953418997,-0.013141050317130745,0.02625512462428475,-0.003978049588069337,-0.029912679732675817,-0.29035131575870615,0.0702541484232025,0.02830260528191948,-0.11591687605653049,-0.14545293622827307,-0.06869613610210244,-0.06407804952720782,0.0792160139200984
0.9,PE,0.9588235604157849,0.23891228586665125,0.10491492445610133,0.021040888860433146,0.08916201474134133,1.833115558232003,-0.36313945842950957,-0.018497642610317357,-0.40113051737215805,-0.3779617670014668,1.7292496074962351,-0.1441413434781275,-0.2332800037898685,-0.11123690581535647,-0.16190104232965186,1.5662068155591289,-0.2029129778086271,0.08505155400377945,-0.09781407873797511,-0.05607629697922777
0.9,RS,0.3378079005289407,0.2607667847176553,0.08052895437243847,0.0932089204973237,0.10700377436048619,0.4767331944073021,0.024075398649190033,0.2088403191095655,-0.008905192591407167,-0.014665950023211471,0.47031216509080925,0.1071853469070638,0.04504316967794432,0.17385073391451925,0.07703908547806262,0.4658436046348917,0.08594973460384221,0.12402591745139012,0.10104830859604792,0.15776208114142118
