Score-Threshold,History-Threshold,MAE-Binomial,MAE-Baseline,MSE-Binomial,MSE-Baseline
0.6,5,0.13580454860857522,0.12969151168422569,0.04724369581778347,0.04365366826308027
0.6,7,0.1295683845555098,0.1274670936550241,0.044506307207761074,0.041637945622682825
0.6,9,0.12458567071097043,0.1250822563317394,0.04246855632904002,0.039937000426364555
0.6,11,0.12068785842909484,0.12354760393904005,0.040953659260118014,0.038830194365522125
0.6,13,0.11775940440367022,0.12230542185713032,0.039880015640058074,0.03801537793675884
0.6,15,0.11525098574591694,0.12144497900969546,0.03907343023058212,0.037454419173268604
0.7,5,0.13837091698463205,0.13663339431768212,0.04858319430998016,0.04487648378173024
0.7,7,0.1319751695906719,0.13403228806571496,0.04549140001134214,0.042590789291437836
0.7,9,0.1269158461065241,0.1318352005536221,0.04332301304585698,0.04094626847970723
0.7,11,0.12327385159671568,0.1303485109300847,0.04192277094148733,0.03986355863902998
0.7,13,0.12007615549950336,0.1290455490445923,0.04058777657270525,0.03899155226189176
0.7,15,0.11770879091761638,0.12821773634185227,0.039797698425906636,0.03837426526640904
0.8,5,0.15516880111162254,0.16833128589283214,0.05785619429614961,0.05537796671268278
0.8,7,0.1478005695491553,0.16508579439858242,0.05331423340918528,0.0520689924613886
0.8,9,0.14227428090233024,0.16269547038301407,0.050217677869753966,0.049835648742234305
0.8,11,0.13802162799970608,0.1607180436195255,0.04797356848277,0.048244910340323195
0.8,13,0.13433904119809634,0.15940467194935415,0.04609873932030211,0.04713060343364245
0.8,15,0.13194234136744856,0.15861255859900703,0.04511400776741013,0.04648317561664532
0.9,5,0.17614179421859302,0.19763006199743519,0.0707898007559751,0.06893817974078102
0.9,7,0.1684821606686873,0.19411770360949343,0.06536822877262972,0.06500948029944932
0.9,9,0.1627245488602809,0.1917690739210404,0.0617752669567756,0.0625659832628558
0.9,11,0.15821101197404214,0.18963015295586486,0.05907662658618733,0.060807229008346494
0.9,13,0.1543957038393247,0.18815946950751494,0.056925177590869694,0.059571510425665906
0.9,15,0.15226743317672403,0.18737180316029367,0.05599200760906247,0.058977556578486384
